Site	Key	rule	attribute_name	page_id	rule	attribute_name	page_id																														
www.frys.com	5650-Cables & Connectivity	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5651-Calendars & Planners	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5652-Car Security & Safety Systems	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5653-Card Stock & Construction Paper	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5654-Cell Phone Cases	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5655-Cell Phone Screen Protectors	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5656-Cleaning Kits	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5657-Disposals	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5658-Home Automation Accessories	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5659-Home Automation Controllers	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5660-Locks	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5661-Phones & Communications	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5662-Portable Audio Cases & Covers	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5663-Programming	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5664-Reference	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5665-Remote Controls	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5666-Routers	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5667-Sound Bars	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
